source,variable,geography,history,frequency,publication_timing,revision_behavior,pit_archive_availability,access_method,licensing,cost,coverage,known_gaps,recommended_status
EIA WNGSR,working natural gas in underground storage (level + weekly change),US,back to 1993 (weekly series),weekly (Thursday 10:30am ET for prior week ending Friday),fixed weekly release schedule,minimal revision historically (occasional benchmark revisions),strong -- EIA publishes historical release archive; baumeister_huber_lee_ravazzolo_2024 independently built a real-time vintage database from EIA sources back to 1991,free API + web,public / free,none,US only,revisions around annual benchmarking not independently characterised in this review,PIT_READY
EIA STEO,Henry Hub price forecast (nominal),US,archived issues back to Aug 2005 (per baumeister_huber_lee_ravazzolo_2024's own compilation),monthly,released mid-month,forecasts are not revised (superseded by next month's issue -- each vintage is itself a PIT object),strong -- academically demonstrated real-time compilation exists,free web archive,public / free,none,US only,archive access requires manual/scripted retrieval of historical STEO PDFs/tables; not confirmed whether a clean bulk API exists,PIT_POSSIBLE_WITH_WORK
CME/NYMEX Henry Hub futures (NG) settlement history,daily settlement price by contract-month,US,decades of history via exchange/vendor,daily,end-of-day settlement,none (settlement prices are final once published; no revision),strong -- settlement prices are PIT-correct by construction; the risk is in continuous-series CONSTRUCTION methodology, not data availability,exchange/vendor data feed (CME DataMine or licensed vendor),commercial (exchange market-data licensing),paid (tier depends on real-time vs delayed vs historical-only),US only,none identified for historical settlement data itself,PIT_READY
CME/NYMEX Micro Henry Hub (MNG) settlement history,daily settlement price by contract-month,US,shorter history (product newer than NG; exact launch date not independently verified in this review),daily,end-of-day settlement,none,PIT_READY in principle but SHORTER available history than NG -- verify minimum backtest sample size is adequate,exchange/vendor data feed,commercial,paid,US only,shorter history than NG may be a binding constraint for a walk-forward backtest requiring several years of data,PIT_POSSIBLE_WITH_WORK (history-length constraint)
CFTC Commitments of Traders (Disaggregated),managed-money / producer-merchant / swap-dealer net positions,US (NYMEX + ICE-listed NG contracts),Disaggregated report since 2009; legacy report further back,weekly (Tuesday data, released Friday),fixed weekly release,minimal revision,strong -- full historical archive published on cftc.gov,free web / bulk download,public / free,none,US-reporting-venue only,trader-classification methodology has evolved over time (noted in the driver-evidence matrix as an interpretation risk, not an access risk),PIT_READY
ICE TTF futures,daily settlement / curve by expiry,EU (Netherlands TTF),multi-year history,daily,end-of-day settlement,none once published,PIT_READY in principle,exchange/vendor data feed,commercial -- historical-data ENTITLEMENT specifically flagged as unverified in the project's own data-manifest,paid,EU only,entitlement/licensing terms not independently verified in this review (confirms the project's own flagged gap),PIT_POSSIBLE_WITH_WORK (licensing unverified)
GIE AGSI+,EU gas storage level / injection-withdrawal by country and aggregate,EU,several years of daily data (exact start not independently verified in this review),daily,same-day or next-day publication (not independently timed-verified),not independently verified in this review,not independently verified in this review,free web / API (GIE publishes AGSI+ portal),public / free (verify terms of use for programmatic access),likely free,EU,revision behaviour and exact publication-lag not independently confirmed -- treat as an open item,PIT_POSSIBLE_WITH_WORK
GIE ALSI,EU LNG terminal send-out / send-out capacity utilisation,EU,fewer years than AGSI (product launched later; exact start not independently verified),daily,not independently verified,not independently verified,not independently verified,free web / API,public / free (verify terms),likely free,EU,same caveats as AGSI; also the specific 'terminal outage' event data (as distinct from send-out volume) may need a separate source (GIE IIP / REMIT),PIT_POSSIBLE_WITH_WORK
ENTSOG Transparency Platform,EU pipeline flows and capacity by interconnection point,EU (+ Norway interconnection points),multi-year history,daily,near-real-time to next-day,not independently verified,not independently verified,free web / API,public / free,likely free,EU + Norway pipeline interface points,not independently verified in this review -- follow-up item,PIT_POSSIBLE_WITH_WORK
ENTSO-E Transparency Platform,EU power generation mix, load, cross-border flows, prices,EU,multi-year history,hourly,near-real-time,not independently verified,not independently verified,free web / API,public / free,likely free,EU,not independently verified in this review -- follow-up item,PIT_POSSIBLE_WITH_WORK
Platts JKM (S&P Global Commodity Insights),Asian spot LNG benchmark price,Asia (Japan-Korea Marker),multi-year history,daily,published under S&P Global's proprietary methodology,not independently verified,weak -- this is a licensed, proprietary benchmark, not a free public series,commercial vendor subscription (S&P Global Platts),commercial / licensed,paid -- likely substantial for historical vintages,Asia,historical-vintage PIT archive access was not verified and is unlikely to be free; this is the single most likely UNSUITABLE-without-budget item in the whole data plan,UNKNOWN leaning UNSUITABLE without a confirmed budget/licence
NOAA archived weather forecasts (GFS/GEFS),issued temperature/HDD-CDD forecasts by lead time,US,varies by product; some archives are shallow,daily (multiple runs per day for some products),forecast issuance timestamped by design,forecasts are not revised (each run is a distinct PIT object; this is the correct PIT structure),moderate -- NOAA operational archives exist but depth and ease of bulk access vary by product; a commercial re-packager (e.g. Open-Meteo, already in the project's preferred-source register) may simplify this,free (NOAA) or free-tier API (Open-Meteo),public / free (NOAA); Open-Meteo has a free tier,likely free at required volume,US,exact archive depth for the specific HDD/CDD-weighted product Commodity would need was not independently verified in this review,PIT_POSSIBLE_WITH_WORK
ECMWF archived operational forecasts,issued temperature/precipitation forecasts by lead time,Global (incl. US and EU),multi-year archive exists commercially,daily (multiple runs),forecast issuance timestamped by design,not revised (same PIT structure as NOAA),moderate-strong in principle but ACCESS is the constraint,commercial data licence (or a re-packager such as the vendor product reviewed in this pass, World Climate Service),commercial / licensed for the raw ECMWF archive,paid,Global,cost was not independently quantified in this review -- treat as a budget item to confirm before relying on any ECMWF-sourced signal,PIT_POSSIBLE_WITH_WORK (cost unconfirmed)
Norwegian Offshore Directorate,NCS production by field,Norway,multi-year history (exact start not independently verified),monthly (typical for this type of regulator publication; not independently confirmed),not independently verified,not independently verified,not independently verified,not independently verified,not independently verified,not independently verified,Norway,NOT independently searched or verified in this review -- flagged as a research gap (see report Section 26),UNKNOWN
Gassco,Norwegian gas transport flows / maintenance and outage messages,Norway -> EU pipeline system,not independently verified,not independently verified,not independently verified,not independently verified,not independently verified,not independently verified,not independently verified,not independently verified,Norway -> EU interface,NOT independently searched or verified in this review -- flagged as a research gap,UNKNOWN
Statistics Norway (SSB),gas export volume / value / destination mix,Norway,not independently verified,not independently verified (likely monthly),not independently verified,not independently verified,not independently verified,not independently verified,not independently verified,not independently verified,Norway,NOT independently searched or verified in this review -- flagged as a research gap,UNKNOWN
Saxo OpenAPI / SIM real-time futures quotes,tradable bid/ask/last for the exact MNG contract-month,US (accessed via Norway-resident broker account),not applicable (live/forward data, not historical backtest data),real-time (subject to exchange market-data entitlement),not applicable,not applicable,not applicable -- this is EXECUTION-TIME data, not backtest data,authenticated broker API (requires account + entitlement),commercial (account + market-data subscription),subscription cost not independently verified in this review,US instrument via Norway account,"Account-level and instrument-level entitlement could NOT be verified by external web research in this review -- this requires an authenticated Saxo SIM session, which is outside the scope of what this desk review could perform",CURRENT_ONLY_NOT_BACKTESTABLE (by nature) / UNKNOWN on entitlement -- see execution-feasibility.md
